aer_ratings_tag,country_regional_group,country_classification__om__5_jan_2018_,department,project_name,modality,mode_of_financial_assistance,modality__financing_,source_of_funds,approved_amount__usd_mil_,disbursed_amount__usd_mil_,signed__committed_amount__usd_mil_,approval_date,approval_year,loan_grant_signing,loan_grant_effectivity__original_,loan_grant_effectivity__actual_,closing_date__estimate__ctl,closing_date__actual___ctl_,cofin__app_usd_mil_,cofin__act_usd_mil_,proj_cost__app_usd_mil_,proj_cost__act_usd_mil_,primary_sector__pcs_2014_,rrp_circulation_date__bod_,pcr_circulation_date__bod_,pcr_overall_rating,pcr_relevance,pcr_effectiveness,pcr_efficiency,pcr_sustainability,pcr_borrower_performance,pcr_ea_performance,pcr_adb_performance,pvr_circulation_date,pvr_overall_rating,pvr_relevance,pvr_effectiveness,pvr_efficiency,pvr_sustainability,pvr_borrower_performance,pvr_ea_performance,pvr_adb__performance,pcr_quality,pper_circulation_date__bod_,pper_overall_rating,pper_relevance,pper_effectiveness,pper_efficiency,pper_sustainability,pper_borrower_performance,pper_ea_performance,pper_adb_performance,source_of_latest_rating,aer_reporting_year,ied_overall_rating,ied_relevance,ied_effectiveness,ied_efficiency,ied_sustainability,ied_borrower_performance,ied_ea_performance,ied_adb_performance
1,South Asia,Regular OCR-only,SARD,Southern Transport Development Project,Project,Project loan,,OCR/ADF,180.0,185.97,178.7684072,1999,1999.0,1999.0,,2002.0,2006.0,2013.0,127.7,497.81,295.9,906.47,TRA,,2014.0,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,less than successful,relevant,effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,less than satisfactory,,na,na,na,na,na,na,na,na,PVR,2015.0,,,,,,,,
0,South Asia,Regular OCR-only,SARD,Southern Transport Development Project ,Project,Project loan,,COL,90.0,95.97620938,88.7684072,1999,1999.0,1999.0,,2002.0,2010.0,2011.0,,,,,TRA,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PVR,2015.0,,,,,,,,
0,South Asia,Regular OCR-only,SARD,Southern Transport Development Project (Supplementary loan),Project,Project loan,,OCR,90.0,89.99999991,90.0,2008,2008.0,2008.0,,2008.0,2013.0,2013.0,,,,,TRA,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PVR,2015.0,,,,,,,,
1,Pacific,Concessional assistance-only,PARD,Strengthening Public Financial Management Program,Program,Program grant,,ADF,4.5,4.5,4.5,2013,2013.0,2013.0,,2013.0,2013.0,2014.0,0.0,0.0,4.5,4.5,PSM,,2014.0,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,na,na,na,na,na,na,na,na,na,2017.0,less than successful,less than relevant,less than effective,efficient,less than likely sustainable,satisfactory,satisfactory,less than satisfactory,PPER,2015.0,,,,,,,,
1,Pacific,Concessional assistance-only,PARD,Strengthened Public Financial Management Program,Program,Program grant,,ADF,2.35,2.35,2.35,2012,2012.0,2012.0,,2013.0,2013.0,2014.0,0.0,0.0,2.35,2.35,PSM,,2014.0,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2015.0,,,,,,,,
1,East Asia,OCR Blend,EARD,Education for the Poor—Financial CrisisResponse Project,Project,Project grant,,ADF,17.0,16.99,17.0,2009,2009.0,2009.0,,2009.0,2012.0,2014.0,0.0,0.0,26.36,26.18,EDU,,2014.0,highly successful,highly relevant,highly effective,highly efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,successful,relevant,highly effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2015.0,,,,,,,,
1,South Asia,Concessional assistance-only,SARD,Governance Support Program (Subprogram I),Program,Program grant,,ADF,106.3,106.3,115.1,2008,2008.0,2008.0,,2009.0,2013.0,2013.0,8.8,8.51,375.9,375.61,PSM,,2014.0,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2015.0,,,,,,,,
0,South Asia,Concessional assistance-only,SARD,Governance Support Program (Subprogram 1),Program,Program grant,,ADF,106.3,106.3,106.3,2008,2008.0,2008.0,,2008.0,2013.0,2013.0,,,,,PSM,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PVR,2015.0,,,,,,,,
0,South Asia,Concessional assistance-only,SARD,Governance Support Program (Subprogram 1) (Supplementary),Program,Program grant,,ADF,8.8,8.51,8.8,2010,2010.0,2010.0,,2010.0,2013.0,2013.0,,,,,PSM,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PVR,2015.0,,,,,,,,
1,South Asia,Concessional assistance-only,SARD,Rural Reconstruction and Rehabilitation Sector Development Program,Program/Project,SDP grant,,ADF,100.0,93.56,100.0,2007,2007.0,2008.0,,2008.0,2012.0,2014.0,31.5,31.85,161.2,179.85,TRA,,2014.0,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,successful,highly relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2015.0,,,,,,,,
0,South Asia,Concessional assistance-only,SARD,Rural Reconstruction and Rehabilitation Sector Development Program - Project grant,Project,SDP - Project grant,,ADF,50.0,43.56,50.0,2007,2007.0,2008.0,,2008.0,2012.0,2014.0,,,,,TRA,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PVR,2015.0,,,,,,,,
0,South Asia,Concessional assistance-only,SARD,Rural Reconstruction and Rehabilitation Sector Development Program - Program grant,Program,SDP - Program grant,,ADF,50.0,50.0,50.0,2007,2007.0,2008.0,,2008.0,2011.0,2012.0,,,,,ANR,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PVR,2015.0,,,,,,,,
1,Southeast Asia,Regular OCR-only,SERD,Greater Mekong Subregion Regional Communicable Diseases Control Project,Project,Project grant,,ADF,30.0,29.47,30.0,2005,2005.0,2005.0,,2006.0,2010.0,2012.0,0.0,0.0,38.75,34.39,HLT,,2013.0,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,na,na,na,na,na,na,na,na,na,2015.0,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,PPER,2014.0,,,,,,,,
