aer_ratings_tag,country_regional_group,country_classification__om__5_jan_2018_,department,project_name,modality,mode_of_financial_assistance,modality__financing_,source_of_funds,approved_amount__usd_mil_,disbursed_amount__usd_mil_,signed__committed_amount__usd_mil_,approval_date,approval_year,loan_grant_signing,loan_grant_effectivity__original_,loan_grant_effectivity__actual_,closing_date__estimate__ctl,closing_date__actual___ctl_,cofin__app_usd_mil_,cofin__act_usd_mil_,proj_cost__app_usd_mil_,proj_cost__act_usd_mil_,primary_sector__pcs_2014_,rrp_circulation_date__bod_,pcr_circulation_date__bod_,pcr_overall_rating,pcr_relevance,pcr_effectiveness,pcr_efficiency,pcr_sustainability,pcr_borrower_performance,pcr_ea_performance,pcr_adb_performance,pvr_circulation_date,pvr_overall_rating,pvr_relevance,pvr_effectiveness,pvr_efficiency,pvr_sustainability,pvr_borrower_performance,pvr_ea_performance,pvr_adb__performance,pcr_quality,pper_circulation_date__bod_,pper_overall_rating,pper_relevance,pper_effectiveness,pper_efficiency,pper_sustainability,pper_borrower_performance,pper_ea_performance,pper_adb_performance,source_of_latest_rating,aer_reporting_year,ied_overall_rating,ied_relevance,ied_effectiveness,ied_efficiency,ied_sustainability,ied_borrower_performance,ied_ea_performance,ied_adb_performance
0,Pacific,Concessional assistance-only,PARD,Building Macroeconomic Resilience Program (Subprogram 1),Program,Programmatic Approach Policy-Based Lending (loan),,COL,3.0,2.997695,2.98551875,2016,2016.0,2016.0,,2016.0,2016.0,2016.0,13.8,13.8,,,PSM,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
0,Pacific,Concessional assistance-only,PARD,Building Macroeconomic Resilience Program (Subprogram 2),Program,Programmatic Approach Policy-Based Lending (loan),,COL,2.75,2.80726612,2.80303178,2017,2017.0,2017.0,,2017.0,2017.0,2017.0,11.3,11.3,,,PSM,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
0,Pacific,Concessional assistance-only,PARD,Building Macroeconomic Resilience Program (Subprogram 1),Program,Programmatic Approach Policy-Based Lending (grant),,ADF,3.0,3.0,3.0,2016,2016.0,2016.0,,2016.0,2016.0,2016.0,,,,,PSM,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
0,Pacific,Concessional assistance-only,PARD,Building Macroeconomic Resilience Program (Subprogram 2),Program,Programmatic Approach Policy-Based Lending (grant),,ADF,2.25,2.25,2.25,2017,2017.0,2017.0,,2017.0,2017.0,2017.0,,,,,PSM,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
0,Pacific,Concessional assistance-only,PARD,Building Macroeconomic Resilience Program (Subprogram 3),Program,Programmatic Approach Policy-Based Lending (grant),,ADF,5.0,5.0,5.0,2019,2019.0,2019.0,,2019.0,2019.0,2019.0,15.5,15.5,,,PSM,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
1,Southeast Asia,Concessional assistance-only,SERD,Flood Damage Emergency Reconstruction Project and Additional Financing,Project,Special Assistance Loan,Special assistance loan,COL/Government of Australia,135.25,130.99344005999998,135.19412203000002,2012,2012.0,2012.0,,2012.0,2017.0,2019.0,11.93,11.68,157.86,142.6,ANR,,2020.0,highly successful,highly relevant,highly effective,highly efficient,likely sustainable,highly satisfactory,highly satisfactory,satisfactory,,successful,relevant,highly effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
0,Southeast Asia,Concessional assistance-only,SERD,Flood Damage Emergency Reconstruction Project ,Project,Special Assistance Loan,,COL,55.0,51.64494773,54.75568423,2012,2012.0,2012.0,,2012.0,2015.0,2016.0,,,,,ANR,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
0,Southeast Asia,Concessional assistance-only,SERD,Flood Damage Emergency Reconstruction Project  (Additional Financing),Project,Special Assistance Loan,,COL,75.0,67.66549232999999,75.1884378,2014,2014.0,2014.0,,2014.0,2017.0,2019.0,,,,,TRA,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
0,Southeast Asia,Concessional assistance-only,SERD,Flood Damage Emergency Reconstruction Project  (Additional Financing),Project,Special Assistance Grant,,Government of Australia,5.25,11.683,5.25,2012,2012.0,2012.0,,2012.0,2015.0,2019.0,11.93,11.68,,,ANR,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
"1,9",South Asia,OCR Blend,SARD,Assam Power Sector Enhancement Investment Program (Tranche 2),Project,MFF-Tranche (Loan),MFF - tranche,OCR,89.7,63.12139006,89.7,2010,2010.0,2011.0,,2011.0,2013.0,2018.0,0.0,0.0,152.6,77.41,ENE,,2020.0,successful,relevant,effective,efficient,likely sustainable,less than satisfactory,less than satisfactory,satisfactory,,successful,relevant,effective,less than efficient,likely sustainable,less than satisfactory,less than satisfactory,satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
1,Central and West Asia,Concessional assistance-only,CWRD,Northern Flood-Damaged Infrastructure Emergency Rehabilitation Project,Project,Project grant,Project grant,ADF/Afghanistan Infrastructure Trust Fund,56.66,54.86366751,56.66,2014,2014.0,2014.0,,2014.0,2018.0,2020.0,16.66,16.58,57.24,55.44,ANR,,2020.0,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
0,Central and West Asia,Concessional assistance-only,CWRD,Northern Flood-Damaged Infrastructure Emergency Rehabilitation Project,Project,Project grant,,ADF,40.0,38.282062,40.0,2014,2014.0,2014.0,,2014.0,2018.0,2019.0,,,,,ANR,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
0,Central and West Asia,Concessional assistance-only,CWRD,Northern Flood-Damaged Infrastructure Emergency Rehabilitation Project,Project,Project grant,,Afghanistan Infrastructure Trust Fund,16.66,16.58160551,16.66,2014,2014.0,2014.0,,2014.0,2018.0,2020.0,16.66,16.58,,,ANR,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
1,East Asia,Regular OCR-only,EARD,Gansu Tianshui Urban Infrastructure Development Project,Project,Project loan,Project loan,OCR,100.0,98.49900539,100.0,2011,2011.0,2011.0,,2012.0,2016.0,2019.0,0.0,0.0,229.6,204.5,WUS,,2020.0,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
1,Southeast Asia,Regular OCR-only,SERD,KALAHI-CIDSS National Community-Driven Development Project,Project,Project loan/grant,Project loan/grant,OCR/Typhoon Yolanda Multi-Donor Trust Fund,377.103895,328.17876477000004,377.103895,2013,2013.0,2014.0,,2014.0,2018.0,2019.0,0.0,0.0,5.473,3.702,PSM,,2020.0,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,successful,relevant,effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
0,Southeast Asia,Regular OCR-only,SERD,KALAHI-CIDSS National Community-Driven Development Project,Project,Project loan,,OCR,372.103895,324.88032442,372.103895,2013,2013.0,2014.0,,2014.0,2018.0,2019.0,,,,,PSM,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
0,Southeast Asia,Regular OCR-only,SERD,KALAHI-CIDSS National Community-Driven Development Project (Additional Financing),Project,Project grant,,Typhoon Yolanda Multi-Donor Trust Fund,5.0,3.29844035,5.0,2016,2016.0,2016.0,,2016.0,2018.0,2019.0,,,,,PSM,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
1,Southeast Asia,Regular OCR-only,SERD,Regional Roads Development Project,Project,Project loan,Project loan,OCR,180.0,159.9643393,180.0,2011,2011.0,2012.0,,2012.0,2016.0,2019.0,65.0,36.5,380.5,272.0,TRA,,2020.0,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
"1,9",South Asia,OCR Blend,SARD,Assam Power Sector Enhancement Investment Program (Tranche 3),Project,MFF-Tranche (Loan),MFF - tranche,OCR,50.0,29.9612388,50.0,2011,2011.0,2012.0,,2012.0,2014.0,2018.0,0.0,0.0,73.0,34.54,ENE,,2020.0,successful,relevant,effective,efficient,likely sustainable,less than satisfactory,less than satisfactory,satisfactory,,successful,relevant,effective,less than efficient,likely sustainable,less than satisfactory,less than satisfactory,satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
"1,9",Central and West Asia,OCR Blend,CWRD,Power Distribution Enhancement Investment Program ( Tranche 1),Project,MFF-Tranche (Loan),MFF - tranche,COL/OCR,252.0,179.06592559,251.11883588,2008,2008.0,2008.0,,2009.0,2018.0,2019.0,0.0,0.0,341.0,240.2,ENE,,2020.0,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
0,Central and West Asia,OCR Blend,CWRD,Power Distribution Enhancement Investment Program ( Tranche 1),Project,MFF-Tranche (Loan),,OCR,242.0,171.89393813,242.0,2008,2008.0,2008.0,,2009.0,2012.0,2014.0,,,,,ENE,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
0,Central and West Asia,OCR Blend,CWRD,Power Distribution Enhancement Investment Program ( Tranche 1),Project,MFF-Tranche (Loan),,COL,10.0,7.1719874599999995,9.11883588,2008,2008.0,2008.0,,2009.0,2018.0,2019.0,,,,,ENE,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
1,Southeast Asia,OCR Blend,SERD,"Improving Public Expenditure Quality Program 
(Subprogram 1)",Program,Programmatic Approach Policy-Based Lending (loan),Programmatic Approach Policy-Based Lending,COL/OCR,200.0,117.88020223000001,200.9571822,2016,2016.0,2017.0,,2018.0,2017.0,2018.0,0.0,0.0,200.0,117.9,PSM,,2020.0,successful,relevant,effective,efficient,most likely sustainable,satisfactory,satisfactory,satisfactory,,less than successful,less than relevant,less than effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,less than satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
0,Southeast Asia,OCR Blend,SERD,"Improving Public Expenditure Quality Program 
(Subprogram 1)",Program,Programmatic Approach Policy-Based Lending (loan),,OCR,82.7,0.0,82.7,2016,2016.0,2017.0,,,2017.0,2017.0,,,,,PSM,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
0,Southeast Asia,OCR Blend,SERD,"Improving Public Expenditure Quality Program 
(Subprogram 1)",Program,Programmatic Approach Policy-Based Lending (loan),,COL,117.3,117.88020223000001,118.2571822,2016,2016.0,2017.0,,2018.0,2017.0,2018.0,,,,,PSM,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
1,South Asia,Concessional assistance-only,SARD,"Rural Renewable Energy Development
Project",Project,Project grant,Project grant,ADF,21.59,21.02959122,21.59,2010,2010.0,2010.0,,2011.0,2015.0,2019.0,0.0,0.0,24.91,24.14,ENE,,2020.0,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
"1,9",South Asia,OCR Blend,SARD,Rural Connectivity Investment Program (Tranche 2),Project,MFF-Tranche (Loan),MFF - tranche,OCR,275.0,220.92762705,275.0,2013,2013.0,2014.0,,2014.0,2017.0,2019.0,0.0,0.0,356.56,269.56,TRA,,2020.0,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
1,Central and West Asia,Concessional assistance-only,CWRD,Second Vocational Education and Skills Development Project,Project,Project loan/grant,Project loan/grant,COL/ADF,20.0,17.87050606,20.220937460000002,2012,2012.0,2012.0,,2013.0,2018.0,2019.0,0.0,0.0,23.5,21.52,EDU,,2020.0,successful,relevant,effective,efficient,most likely sustainable,satisfactory,satisfactory,satisfactory,,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
0,Central and West Asia,Concessional assistance-only,CWRD,Second Vocational Education and Skills Development Project,Project,Project loan,,COL,10.0,8.301853,10.22093746,2012,2012.0,2012.0,,2013.0,2018.0,2019.0,,,,,EDU,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
0,Central and West Asia,Concessional assistance-only,CWRD,Second Vocational Education and Skills Development Project,Project,Project grant,,ADF,10.0,9.56865306,10.0,2012,2012.0,2012.0,,2013.0,2018.0,2019.0,,,,,EDU,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
9,Central and West Asia,OCR Blend,CWRD,Power Distribution Enhancement Investment Program,Project,MFF - Facility,MFF - Facility,OCR,167.2,135.32911099,167.2,2013,2013.0,2014.0,,2014.0,2017.0,2019.0,0.0,0.0,228.2,175.4,ENE,,2020.0,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
0,Central and West Asia,OCR Blend,CWRD,Power Distribution Enhancement Investment Program (Tranche 4),Project,MFF-Tranche (Loan),,OCR,167.2,135.32911099,167.2,2013,2013.0,2014.0,,2014.0,2017.0,2019.0,0.0,0.0,228.2,175.4,ENE,,2020.0,highly successful,highly relevant,highly effective,highly efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,successful,relevant,highly effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
1,Southeast Asia,Concessional assistance-only,SERD,Third Education Sector Development Program,Program/Project,SDP loan,SDP,COL,30.0,28.03801348,30.282776249999998,2012,2012.0,2013.0,,2013.0,2018.0,2019.0,0.0,0.0,19.2,17.723,EDU,,2020.0,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
0,Southeast Asia,Concessional assistance-only,SERD,Third Education Sector Development Program,Program,SDP - Program loan,,COL,12.0,11.51526595,12.1131105,2012,2012.0,2013.0,,2013.0,2013.0,2015.0,,,,,EDU,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
0,Southeast Asia,Concessional assistance-only,SERD,Third Education Sector Development Program,Project,SDP - Project loan,,COL,18.0,16.52274753,18.16966575,2012,2012.0,2013.0,,2013.0,2018.0,2019.0,,,,,EDU,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
1,East Asia,Regular OCR-only,EARD,Qinghai Rural Water Resources Management Project,Project,Project loan,Project loan,OCR,60.0,60.0,60.0,2011,2011.0,2011.0,,2011.0,2017.0,2019.0,0.0,0.0,223.6,268.53,ANR,,2020.0,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,successful,relevant,effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
1,East Asia,Regular OCR-only,EARD,Hebei Energy Efficiency Improvement and Emission Reduction Project,Project,DFI,DFI,OCR/Global Environment Facility Grant,103.654546,103.36876932,103.654546,2011,2011.0,2012.0,,2012.0,2017.0,2019.0,3.65,3.37,583.25,623.77,ENE,,2020.0,highly successful,highly relevant,effective,highly efficient,most likely sustainable,highly satisfactory,highly satisfactory,satisfactory,,successful,relevant,effective,efficient,likely sustainable,highly satisfactory,highly satisfactory,satisfactory,less than satisfactory,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
0,East Asia,Regular OCR-only,EARD,Hebei Energy Efficiency Improvement and Emission Reduction Project,Project,DFI,,OCR,100.0,100.0,100.0,2011,2011.0,2012.0,,2012.0,2017.0,2017.0,,,,,ENE,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
0,East Asia,Regular OCR-only,EARD,Hebei Energy Efficiency Improvement and Emission Reduction Project,Project,DFI,,Global Environment Facility Grant,3.654546,3.3687693199999997,3.654546,2013,2013.0,2013.0,,2014.0,2017.0,2019.0,3.65,3.37,,,ENE,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
1,East Asia,Regular OCR-only,EARD,Yunnan Sustainable Road Maintenance (Sector) Project,Project,Sector loan,Sector loan,OCR,80.0,76.5313723,80.0,2013,2013.0,2014.0,,2014.0,2019.0,2019.0,0.0,0.0,232.4,277.1,TRA,,2020.0,successful,relevant,effective,highly efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,successful,relevant,effective,highly efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
1,Southeast Asia,Regular OCR-only,SERD,Financial Market Development and Inclusion Program,Program,Programmatic Approach Policy-Based Lending (loan),Programmatic Approach Policy-Based Lending,OCR,1300.0,1300.0,1300.0,2015,2015.0,2015.0,,2015.0,2020.0,2019.0,0.0,0.0,1.3,1.3,FIN,,2020.0,successful,relevant,effective,highly efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,successful,relevant,effective,highly efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
0,Southeast Asia,Regular OCR-only,SERD,Financial Market Development and Inclusion Program (Subprogram 1),Program,Programmatic Approach Policy-Based Lending (loan),,OCR,400.0,400.0,400.0,2015,2015.0,2015.0,,2015.0,2016.0,2016.0,,,,,FIN,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
0,Southeast Asia,Regular OCR-only,SERD,Financial Market Development and Inclusion Program (Subprogram 2),Program,Programmatic Approach Policy-Based Lending (loan),,OCR,400.0,400.0,400.0,2017,2017.0,2017.0,,2017.0,2018.0,2017.0,,,,,FIN,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
0,Southeast Asia,Regular OCR-only,SERD,Financial Market Development and Inclusion Program (Subprogram 3),Program,Programmatic Approach Policy-Based Lending (loan),,OCR,500.0,500.0,500.0,2019,2019.0,2019.0,,2019.0,2020.0,2019.0,,,,,FIN,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
1,East Asia,Regular OCR-only,EARD,Shaanxi Qinling Biodiversity Conservation and Demonstration Project,Project,Project loan/grant,Project loan/grant,OCR/Global Environment Facility Grant,44.269999999999996,43.602190840000006,44.269999999999996,2009,2009.0,2010.0,,2010.0,2015.0,2019.0,4.3,4.1,132.6,109.2,ANR,,2020.0,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,successful,relevant,effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
0,East Asia,Regular OCR-only,EARD,Shaanxi Qinling Biodiversity Conservation and Demonstration Project,Project,Project loan,,OCR,40.0,39.5073591,40.0,2009,2009.0,2010.0,,2010.0,2015.0,2019.0,,,,,ANR,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
0,East Asia,Regular OCR-only,EARD,Shaanxi Qinling Biodiversity Conservation and Demonstration Project,Project,Project grant,,Global Environment Facility Grant,4.27,4.09483174,4.27,2009,2009.0,2010.0,,2010.0,2015.0,2019.0,4.3,4.1,,,ANR,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
1,Southeast Asia,Concessional assistance-only,SERD,Small Towns Water Supply and Sanitation Sector Project,Project,Project grant,Project grant,ADF,28.8,23.42795374,28.8,2009,2009.0,2009.0,,2009.0,2014.0,2019.0,5.8,0.49,31.44,26.74,WUS,,2020.0,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
1,South Asia,OCR Blend,SARD,Good Governance Program,Program,Program loan,Program loan,COL,150.0,146.3437638,153.44553109999998,2007,2007.0,2007.0,,2007.0,2012.0,2018.0,0.0,0.0,150.0,146.344,PSM,,2020.0,successful,relevant,effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,less than successful,relevant,effective,inefficient,less than likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
1,South Asia,OCR Blend,SARD,Railway Sector Improvement Project,Project,Sector Loan,Sector loan,OCR,313.6,201.91514103,313.6,2002,2002.0,2004.0,,2004.0,2008.0,2012.0,0.0,0.0,579.2,446.663,TRA,,2020.0,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,successful,relevant,effective,efficient,likely sustainable,less than satisfactory,less than satisfactory,satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
1,East Asia,Regular OCR-only,EARD,Integrated Renewable Biomass Energy Development Sector Project,Project,Project loan/grant,Project loan/grant,OCR/Clean Energy Fund under the Clean Energy Financing Partnership Facility/Global Environment Facility Grant,78.279091,57.94692464,78.279091,2010,2010.0,2010.0,,2010.0,2016.0,2020.0,16.799999999999997,7.7,152.5,88.7,ENE,,2020.0,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
0,East Asia,Regular OCR-only,EARD,Integrated Renewable Biomass Energy Development Sector Project,Project,Project loan,,OCR,66.08,50.21055732,66.08,2010,2010.0,2010.0,,2010.0,2016.0,2020.0,,,,,ENE,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
0,East Asia,Regular OCR-only,EARD,Integrated Renewable Biomass Energy Development Sector Project,Project,Project grant,,Clean Energy Fund under the Clean Energy Financing Partnership Facility (CEF-CEFPF),3.0,1.5665147,3.0,2010,2010.0,2010.0,,2010.0,2016.0,2020.0,3.0,1.5,,,ENE,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
0,East Asia,Regular OCR-only,EARD,Integrated Renewable Biomass Energy Development Sector Project,Project,Project grant,,Global Environment Facility Grant,9.199091,6.16985262,9.199091,2010,2010.0,2010.0,,2010.0,2016.0,2020.0,9.2,6.2,,,ENE,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
1,South Asia,Concessional assistance-only,SARD,Information and Communication Technology Development Project,Project,Project grant,Project grant,ADF,25.0,21.3476268,25.0,2009,2009.0,2008.0,,2008.0,2014.0,2019.0,0.0,0.0,31.2,26.59,ICT,,2020.0,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,less than successful,less than relevant,effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory,less than satisfactory,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
1,Southeast Asia,OCR Blend,SERD,Development of the Northern Chu and Southern Ma Rivers Irrigation System Project,Project,Project loan,Project loan,COL,110.0,97.12650731000001,107.15771717,2011,2011.0,2012.0,,2012.0,2017.0,2019.0,0.0,0.0,143.049,125.668,ANR,,2020.0,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
1,Southeast Asia,Concessional assistance-only,SERD,Power Distribution Improvement Project,Project,Project loan,Project loan,COL,60.0,53.079722200000006,59.74808083,2013,2013.0,2014.0,,2014.0,2018.0,2019.0,0.0,0.0,73.7,65.492,ENE,,2020.0,highly successful,highly relevant,highly effective,highly efficient,likely sustainable,satisfactory,satisfactory,highly satisfactory,,successful,relevant,effective,highly efficient,likely sustainable,satisfactory,satisfactory,highly satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
1,South Asia,Regular OCR-only,SARD,Fiscal Management Efficiency Project,Project,Project loan,Project loan,OCR,50.0,27.73716105,50.0,2010,2010.0,2010.0,,2010.0,2014.0,2020.0,0.0,0.0,60.0,60.03,PSM,,2020.0,less than successful,relevant,less than effective,less than efficient,likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory,,less than successful,relevant,less than effective,less than efficient,likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2021.0,,,,,,,,
