dataset,num_combinations,recommended_preproc,recommended_algorithm,recommended_score,best_preproc,best_algorithm,best_score,delta_score,rank,percentile_rank,is_top_1,is_top_3,is_top_5,best_top3_preproc,best_top3_algorithm,best_top3_score,best_top3_delta,best_top3_rank,best_top3_percentile,best_top3_is_top_1,best_top3_is_top_3,best_top3_is_top_5,recommendation_time_s,delta_multiclass_precision_macro,delta_multiclass_recall_macro,delta_multiclass_f1_weighted,best_multiclass_precision_macro,rec_multiclass_precision_macro,best_multiclass_recall_macro,rec_multiclass_recall_macro,best_multiclass_f1_weighted,rec_multiclass_f1_weighted
pageblocks.csv,32,RandomOverSampler,RandomForestClassifier,0.757,TomekLinks,BaggingClassifier,0.816,-0.059,11.0,64.52,False,False,False,RandomOverSampler,BaggingClassifier,0.786,-0.03,2.0,93.55,False,True,True,0.1597,-0.128,-0.122,-0.01,0.728,0.6,0.74,0.618,0.955,0.945
ecoli.csv,32,SMOTE,RandomForestClassifier,,TomekLinks,RandomForestClassifier,0.804,,,,False,False,False,NO_RECOMMENDATION,NO_RECOMMENDATION,,,,,False,False,False,0.1765,,,,0.785,,0.762,,0.849,
dermatology.csv,56,SMOTETomek,RUSBoostClassifier,0.586,EditedNearestNeighbours,BalancedRandomForestClassifier,0.981,-0.395,38.0,20.83,False,False,False,SMOTETomek,RUSBoostClassifier,0.586,-0.395,38.0,20.83,False,False,False,0.1671,-0.422,-0.374,-0.409,0.982,0.56,0.98,0.606,0.982,0.573
contraceptive.csv,48,SMOTE,GradientBoostingClassifier,0.522,SMOTETomek,GradientBoostingClassifier,0.528,-0.006,3.0,93.48,False,True,True,SMOTE,GradientBoostingClassifier,0.522,-0.006,3.0,93.48,False,True,True,0.1642,-0.005,-0.008,-0.005,0.555,0.55,0.556,0.548,0.568,0.563
balance.csv,56,EditedNearestNeighbours,GradientBoostingClassifier,0.74,TomekLinks,AdaBoostClassifier,0.779,-0.039,12.0,75.0,False,False,False,TomekLinks,AdaBoostClassifier,0.779,0.0,1.0,97.92,True,True,True,0.1664,0.009,0.031,-0.038,0.676,0.685,0.671,0.702,0.877,0.839
total_score.csv,56,RandomOverSampler,RandomForestClassifier,0.76,RandomOverSampler,BalancedRandomForestClassifier,0.762,-0.002,2.0,96.3,False,True,True,RandomOverSampler,BalancedRandomForestClassifier,0.762,0.0,1.0,98.15,True,True,True,0.1553,-0.002,-0.002,-0.003,0.807,0.805,0.795,0.793,0.78,0.777
website_phishing.csv,56,EditedNearestNeighbours,GradientBoostingClassifier,0.865,RandomOverSampler,GradientBoostingClassifier,0.883,-0.018,24.0,55.56,False,False,False,EditedNearestNeighbours,GradientBoostingClassifier,0.865,-0.018,24.0,55.56,False,False,False,0.1873,-0.033,-0.009,-0.013,0.859,0.826,0.922,0.913,0.907,0.894
steel-plates-fault_subset.csv,56,SMOTE,GradientBoostingClassifier,0.788,SMOTE,GradientBoostingClassifier,0.788,0.0,1.0,98.18,True,True,True,SMOTE,GradientBoostingClassifier,0.788,0.0,1.0,98.18,True,True,True,0.1808,0.0,0.0,0.0,0.811,0.811,0.82,0.82,0.785,0.785
soybean_clean.csv,48,RandomOverSampler,GradientBoostingClassifier,0.949,RandomOverSampler,RandomForestClassifier,0.956,-0.007,9.0,80.85,False,False,False,RandomOverSampler,GradientBoostingClassifier,0.949,-0.007,9.0,80.85,False,False,False,0.1741,-0.006,-0.01,-0.005,0.974,0.968,0.971,0.961,0.94,0.935
product_sentiment_machine_hack_subset.csv,56,ADASYN,RandomForestClassifier,0.684,ADASYN,GradientBoostingClassifier,0.701,-0.017,20.0,63.64,False,False,False,ADASYN,RandomForestClassifier,0.684,-0.017,20.0,63.64,False,False,False,0.1931,-0.118,-0.033,-0.013,0.547,0.429,0.501,0.468,0.848,0.835
