dataset,num_combinations,recommended_preproc,recommended_algorithm,recommended_score,best_preproc,best_algorithm,best_score,delta_score,rank,percentile_rank,is_top_1,is_top_3,is_top_5,best_top3_preproc,best_top3_algorithm,best_top3_score,best_top3_delta,best_top3_rank,best_top3_percentile,best_top3_is_top_1,best_top3_is_top_3,best_top3_is_top_5,recommendation_time_s,delta_multiclass_precision_macro,delta_multiclass_recall_macro,delta_multiclass_f1_weighted,best_multiclass_precision_macro,rec_multiclass_precision_macro,best_multiclass_recall_macro,rec_multiclass_recall_macro,best_multiclass_f1_weighted,rec_multiclass_f1_weighted
agriculture_dataset_karnataka_clean_subset.csv,48,RandomOverSampler,RandomForestClassifier,0.957,RandomOverSampler,RandomForestClassifier,0.957,0.0,1.0,97.92,True,True,True,RandomOverSampler,RandomForestClassifier,0.957,0.0,1.0,97.92,True,True,True,0.0222,0.0,0.0,0.0,0.967,0.967,0.957,0.957,0.964,0.964
TESTFORDESCRIPTION-anneal.csv,56,SMOTETomek,GradientBoostingClassifier,0.986,SMOTETomek,GradientBoostingClassifier,0.986,0.0,2.0,96.36,False,True,True,SMOTETomek,GradientBoostingClassifier,0.986,0.0,2.0,96.36,False,True,True,0.023,0.0,0.0,0.0,0.977,0.977,0.976,0.976,0.996,0.996
Success-Rates-2_clean_subset.csv,32,RandomOverSampler,BalancedBaggingClassifier,0.901,RandomOverSampler,GradientBoostingClassifier,0.921,-0.02,5.0,83.33,False,False,True,RandomOverSampler,GradientBoostingClassifier,0.921,0.0,1.0,96.67,True,True,True,0.0233,-0.052,-0.054,0.001,0.848,0.796,0.85,0.796,0.985,0.986
QSAR_Bioconcentration_classification.csv,56,SMOTETomek,BalancedRandomForestClassifier,0.616,ADASYN,RandomForestClassifier,0.622,-0.006,5.0,90.74,False,False,True,ADASYN,BalancedRandomForestClassifier,0.619,-0.003,3.0,94.44,False,True,True,0.0226,-0.008,-0.005,-0.007,0.72,0.712,0.557,0.552,0.679,0.672
Midwest_survey_clean_subset.csv,56,ADASYN,BalancedRandomForestClassifier,0.551,RandomOverSampler,BaggingClassifier,0.962,-0.411,44.0,18.52,False,False,False,RandomOverSampler,RandomForestClassifier,0.6,-0.362,37.0,31.48,False,False,False,0.0225,-0.425,-0.504,-0.35,0.96,0.535,0.963,0.459,0.967,0.617
HCV_data_clean.csv,56,RandomOverSampler,RandomForestClassifier,0.757,SMOTE,RandomForestClassifier,0.765,-0.008,7.0,87.27,False,False,False,SMOTETomek,BalancedRandomForestClassifier,0.759,-0.006,3.0,94.55,False,True,True,0.0229,0.026,-0.041,-0.007,0.668,0.694,0.653,0.612,0.929,0.922
Diabetes130US_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True_clean.csv,56,ADASYN,BalancedRandomForestClassifier,0.417,SMOTE,GradientBoostingClassifier,0.449,-0.032,36.0,34.55,False,False,False,RandomOverSampler,RandomForestClassifier,0.424,-0.025,20.0,63.64,False,False,False,0.0226,-0.053,-0.029,-0.029,0.452,0.399,0.416,0.387,0.536,0.507
yeast.csv,32,RandomOverSampler,RandomForestClassifier,0.559,TomekLinks,RandomForestClassifier,0.568,-0.009,3.0,90.32,False,True,True,RandomOverSampler,BalancedRandomForestClassifier,0.565,-0.003,2.0,93.55,False,True,True,0.0251,-0.021,-0.003,-0.005,0.584,0.563,0.558,0.555,0.609,0.604
wine_quality_white.csv,32,RandomOverSampler,BalancedRandomForestClassifier,0.574,RandomOverSampler,BalancedRandomForestClassifier,0.574,0.0,1.0,96.67,True,True,True,RandomOverSampler,BalancedRandomForestClassifier,0.574,0.0,1.0,96.67,True,True,True,0.0241,0.0,0.0,0.0,0.552,0.552,0.443,0.443,0.69,0.69
wine_quality_red.csv,48,RandomOverSampler,BalancedRandomForestClassifier,0.535,RandomOverSampler,BalancedRandomForestClassifier,0.535,0.0,1.0,97.83,True,True,True,RandomOverSampler,BalancedRandomForestClassifier,0.535,0.0,1.0,97.83,True,True,True,0.0258,0.0,0.0,0.0,0.401,0.401,0.381,0.381,0.687,0.687
wine-quality-red.csv,48,RandomOverSampler,BalancedRandomForestClassifier,0.535,RandomOverSampler,BalancedRandomForestClassifier,0.535,0.0,1.0,97.83,True,True,True,RandomOverSampler,BalancedRandomForestClassifier,0.535,0.0,1.0,97.83,True,True,True,0.0248,0.0,0.0,0.0,0.401,0.401,0.381,0.381,0.687,0.687
wall-robot-navigation.csv,48,ADASYN,BalancedRandomForestClassifier,,RandomOverSampler,GradientBoostingClassifier,0.998,,,,False,False,False,SMOTETomek,GradientBoostingClassifier,0.997,-0.001,3.0,93.48,False,True,True,0.0266,,,,0.998,,0.997,,0.998,
thyroid-dis.csv,56,RandomOverSampler,RandomForestClassifier,0.555,TomekLinks,GradientBoostingClassifier,0.563,-0.008,3.0,94.55,False,True,True,RandomOverSampler,RandomForestClassifier,0.555,-0.008,3.0,94.55,False,True,True,0.0303,-0.065,0.026,0.008,0.592,0.527,0.445,0.471,0.681,0.689
thyroid-ann.csv,56,RandomOverSampler,BalancedRandomForestClassifier,0.991,RandomOverSampler,BalancedRandomForestClassifier,0.991,0.0,1.0,98.15,True,True,True,RandomOverSampler,BalancedRandomForestClassifier,0.991,0.0,1.0,98.15,True,True,True,0.0259,0.0,0.0,0.0,0.981,0.981,0.999,0.999,0.998,0.998
solar-flare.csv,56,ADASYN,EasyEnsembleClassifier,0.664,TomekLinks,EasyEnsembleClassifier,0.674,-0.01,10.0,82.14,False,False,False,SMOTETomek,EasyEnsembleClassifier,0.671,-0.003,2.0,96.43,False,True,True,0.0226,-0.014,-0.016,-0.006,0.64,0.626,0.666,0.65,0.722,0.716
page_blocks.csv,56,RandomOverSampler,RandomForestClassifier,0.896,RandomOverSampler,RandomForestClassifier,0.896,0.0,1.0,98.18,True,True,True,RandomOverSampler,RandomForestClassifier,0.896,0.0,1.0,98.18,True,True,True,0.0228,0.0,0.0,0.0,0.87,0.87,0.863,0.863,0.974,0.974
page-blocks.csv,56,RandomOverSampler,RandomForestClassifier,0.896,RandomOverSampler,RandomForestClassifier,0.896,0.0,1.0,98.18,True,True,True,RandomOverSampler,RandomForestClassifier,0.896,0.0,1.0,98.18,True,True,True,0.0227,0.0,0.0,0.0,0.87,0.87,0.863,0.863,0.974,0.974
helena_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True.csv,32,RandomOverSampler,RandomForestClassifier,0.198,RandomOverSampler,BalancedRandomForestClassifier,0.199,-0.001,2.0,93.33,False,True,True,RandomOverSampler,BalancedRandomForestClassifier,0.199,0.0,1.0,96.67,True,True,True,0.0221,-0.001,-0.002,-0.001,0.112,0.111,0.129,0.127,0.229,0.228
