dataset,num_combinations,recommended_preproc,recommended_algorithm,recommended_score,best_preproc,best_algorithm,best_score,delta_score,rank,percentile_rank,is_top_1,is_top_3,is_top_5,recommendation_time_s,delta_balanced_accuracy,delta_f1_score,delta_roc_auc,best_balanced_accuracy,rec_balanced_accuracy,best_f1_score,rec_f1_score,best_roc_auc,rec_roc_auc,problem_type,delta_multiclass_precision_macro,delta_multiclass_recall_macro,delta_multiclass_f1_weighted,best_multiclass_precision_macro,rec_multiclass_precision_macro,best_multiclass_recall_macro,rec_multiclass_recall_macro,best_multiclass_f1_weighted,rec_multiclass_f1_weighted
arsenic-male-bladder (id:947),12,RandomOverSampler,LGBMClassifier,0.722,RandomOverSampler,LGBMClassifier,0.722,0.0,1.0,91.67,True,True,True,0.0234,0.0,0.0,0.0,0.795,0.795,0.636,0.636,0.836,0.836,binary,,,,,,,,,
wilt (id:40983),12,RandomOverSampler,XGBClassifier,0.914,SMOTETomek,XGBClassifier,0.924,-0.01,10.0,16.67,False,False,False,0.022,-0.02,-0.001,-0.003,0.952,0.932,0.866,0.865,0.991,0.988,binary,,,,,,,,,
vowel (id:1016),12,SVMSMOTE,GradientBoostingClassifier,0.986,SVMSMOTE,XGBClassifier,0.99,-0.004,5.0,58.33,False,False,True,0.0227,-0.003,-0.001,-0.001,0.992,0.989,0.997,0.996,1.0,0.999,binary,,,,,,,,,
mfeat-morphological (id:962),12,RandomOverSampler,LGBMClassifier,0.992,SVMSMOTE,GradientBoostingClassifier,0.994,-0.002,11.0,8.33,False,False,False,0.0287,0.0,-0.001,0.002,0.992,0.992,0.999,0.998,0.996,0.998,binary,,,,,,,,,
pc4 (id:1049),12,SVMSMOTE,XGBClassifier,0.745,RandomOverSampler,GradientBoostingClassifier,0.791,-0.046,12.0,0.0,False,False,False,0.0325,-0.078,-0.034,0.002,0.874,0.796,0.662,0.628,0.942,0.944,binary,,,,,,,,,
spectrometer (id:954),12,SVMSMOTE,GradientBoostingClassifier,0.93,SVMSMOTE,XGBClassifier,0.938,-0.008,3.0,75.0,False,True,True,0.0327,-0.008,-0.002,-0.001,0.945,0.937,0.98,0.978,0.993,0.992,binary,,,,,,,,,
JapaneseVowels (id:976),12,SVMSMOTE,XGBClassifier,0.989,SVMSMOTE,LGBMClassifier,0.989,0.0,2.0,83.33,False,True,True,0.0303,-0.001,0.0,0.0,0.989,0.988,0.995,0.995,1.0,1.0,binary,,,,,,,,,
mfeat-pixel (id:1022),12,RandomOverSampler,GradientBoostingClassifier,0.981,RandomOverSampler,LGBMClassifier,0.985,-0.004,10.0,16.67,False,False,False,0.0229,0.0,-0.002,-0.003,0.98,0.98,0.997,0.995,0.999,0.996,binary,,,,,,,,,
analcatdata_apnea3 (id:764),12,RandomOverSampler,GradientBoostingClassifier,0.844,RandomOverSampler,GradientBoostingClassifier,0.844,0.0,1.0,91.67,True,True,True,0.0214,0.0,0.0,0.0,0.905,0.905,0.747,0.747,0.961,0.961,binary,,,,,,,,,
mfeat-karhunen (id:1020),12,SVMSMOTE,XGBClassifier,0.986,SVMSMOTE,GradientBoostingClassifier,0.987,-0.001,3.0,75.0,False,True,True,0.0218,-0.004,0.001,0.001,0.988,0.984,0.996,0.997,0.998,0.999,binary,,,,,,,,,
Sick_numeric (id:41946),12,SVMSMOTE,XGBClassifier,0.918,RandomOverSampler,LGBMClassifier,0.933,-0.015,8.0,33.33,False,False,False,0.0257,-0.009,-0.027,-0.001,0.946,0.937,0.892,0.865,0.996,0.995,binary,,,,,,,,,
analcatdata_lawsuit (id:450),12,SMOTETomek,XGBClassifier,0.922,RandomOverSampler,LGBMClassifier,0.951,-0.029,8.0,33.33,False,False,False,0.0217,-0.019,-0.05,0.002,0.97,0.951,0.916,0.866,0.993,0.995,binary,,,,,,,,,
